Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city
9,1971-07-06,153.0,Clermont-Ferrand,Saint-Étienne,Stage with mountain(s),Walter Godefroot,BEL,1971,Walter_Godefroot,Mountain stage,1943-07-02,Gand
10,1971-07-07,188.5,Saint-Étienne,Grenoble,Stage with mountain(s),Bernard Thévenet,FRA,1971,Bernard_Thévenet,Mountain stage,1948-01-10,Saint-Julien-de-Civry
11,1971-07-08,134.0,Grenoble,Orcières,Stage with mountain(s),Luis Ocaña,ESP,1971,Luis_Ocaña,Mountain stage,1945-06-09,Priego
12,1971-07-10,251.0,Orcières,Marseille,Plain stage,Luciano Armani,ITA,1971,Luciano_Armani,Flat stage,1940-10-12,Felegara (d)
13,1971-07-11,16.3,Albi,Albi,Individual time trial,Eddy Merckx,BEL,1971,Eddy_Merckx,Time trial,1945-06-17,Meensel-Kiezegem
14,1971-07-12,214.5,Revel,Luchon,Stage with mountain(s),José Manuel Fuente,ESP,1971,José_Manuel_Fuente,Mountain stage,1945-09-30,Siero
15,1971-07-13,19.6,Luchon,Superbagnères,Stage with mountain(s),José Manuel Fuente,ESP,1971,José_Manuel_Fuente,Mountain stage,1945-09-30,Siero
16a,1971-07-14,145.0,Luchon,Gourette,Stage with mountain(s),Bernard Labourdette,FRA,1971,Bernard_Labourdette,Mountain stage,1946-08-13,Lurbe-Saint-Christau
16b,1971-07-14,57.5,Gourette,Pau,Plain stage,Herman Van Springel,BEL,1971,Herman_Van_Springel,Flat stage,1943-08-14,Ranst
17,1971-07-15,188.0,Mont-de-Marsan,Bordeaux,Plain stage,Eddy Merckx,BEL,1971,Eddy_Merckx,Flat stage,1945-06-17,Meensel-Kiezegem
18,1971-07-16,244.0,Bordeaux,Poitiers,Plain stage,Jean-Pierre Danguillaume,FRA,1971,Jean-Pierre_Danguillaume,Flat stage,1946-05-25,Joué-lès-Tours
19,1971-07-17,185.0,Blois,Versailles,Plain stage,Jan Krekels,NED,1971,Jan_Krekels,Flat stage,1947-08-26,Sittard
