Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,Year,rider_name,Gen_type,birth_date,birth_city,dist_from_origin,dist_from_destination
11,1911-07-22,379.0,Bayonne,La Rochelle,Plain stage,Paul Duboc,FRA,1911,Paul_Duboc,Flat stage,1884-04-02,Rouen,689.794018290877,401.72294361322673
12,1911-07-23,470.0,La Rochelle,Brest,Plain stage,Marcel Godivier,FRA,1911,Marcel_Godivier,Flat stage,1887-01-17,Versailles,383.99196216740734,489.7549767961984
13,1911-07-26,405.0,Brest,Cherbourg,Plain stage,Gustave Garrigou,FRA,1911,Gustave_Garrigou,Flat stage,1884-09-24,Vabre-Tizac,685.6177191707583,662.4603222107054
14,1911-07-28,361.0,Cherbourg,Le Havre,Plain stage,Paul Duboc,FRA,1911,Paul_Duboc,Flat stage,1884-04-02,Rouen,198.05091969712484,71.71583973354586
15,1911-07-30,317.0,Le Havre,Paris,Plain stage,Marcel Godivier,FRA,1911,Marcel_Godivier,Flat stage,1887-01-17,Versailles,166.0761232740279,15.472683673109765
1,1910-07-03,269.0,Paris,Roubaix,Plain stage,Charles Crupelandt,FRA,1910,Charles_Crupelandt,Flat stage,1886-10-23,Roubaix,212.91940562986298,0.0
3,1910-07-07,259.0,Metz,Belfort,Stage with mountain(s),Emile Georget,FRA,1910,Emile_Georget,Mountain stage,1881-11-21,Bossay-sur-Claise,464.6034500367892,455.2849897812031
5,1910-07-11,311.0,Lyon,Grenoble,Stage with mountain(s),Octave Lapize,FRA,1910,Octave_Lapize,Mountain stage,1887-10-24,14e arrondissement de Paris,390.8320332581218,480.96336634083855
6,1910-07-13,345.0,Grenoble,Nice,Stage with mountain(s),Julien Maitron,FRA,1910,Julien_Maitron,Mountain stage,1881-02-20,Dompierre-sur-Nièvre,297.8053987726169,503.07129013727496
8,1910-07-17,216.0,Nîmes,Perpignan,Plain stage,Georges Paulmier,FRA,1910,Georges_Paulmier,Flat stage,1882-09-24,Frépillon,602.7277380051358,708.1278649817909
9,1910-07-19,289.0,Perpignan,Luchon,Stage with mountain(s),Octave Lapize,FRA,1910,Octave_Lapize,Mountain stage,1887-10-24,14e arrondissement de Paris,683.2589345426882,684.9187482326226
10,1910-07-21,326.0,Luchon,Bayonne,Stage with mountain(s),Octave Lapize,FRA,1910,Octave_Lapize,Mountain stage,1887-10-24,14e arrondissement de Paris,684.9187482326226,661.9909074937481
11,1910-07-23,269.0,Bayonne,Bordeaux,Plain stage,Ernest Paul,FRA,1910,Ernest_Paul,Flat stage,1881-12-05,Villotte-sur-Ource,682.1012838812165,525.8482329018939
12,1910-07-25,391.0,Bordeaux,Nantes,Plain stage,Louis Trousselier,FRA,1910,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,505.61627708066993,694.8355949855505
13,1910-07-27,321.0,Nantes,Brest,Plain stage,Gustave Garrigou,FRA,1910,Gustave_Garrigou,Flat stage,1884-09-24,Vabre-Tizac,436.2252662149896,685.6177191707583
14,1910-07-29,424.0,Brest,Caen,Plain stage,Octave Lapize,FRA,1910,Octave_Lapize,Flat stage,1887-10-24,14e arrondissement de Paris,504.6123571397584,200.6047177982913
7,1909-07-17,345.0,Nice,Nîmes,Plain stage,Ernest Paul,FRA,1909,Ernest_Paul,Flat stage,1881-12-05,Villotte-sur-Ource,504.42969796119996,448.13026393297537
8,1909-07-19,303.0,Nîmes,Toulouse,Plain stage,Jean Alavoine,FRA,1909,Jean_Alavoine,Flat stage,1888-04-01,Roubaix,767.2564498252766,798.6895545052654
9,1909-07-21,299.0,Toulouse,Bayonne,Plain stage,Constant Ménager,FRA,1909,Constant_Ménager,Flat stage,1889-04-15,Montataire,632.8130711887891,707.4388105880807
11,1909-07-25,391.0,Bordeaux,Nantes,Plain stage,Louis Trousselier,FRA,1909,Louis_Trousselier,Flat stage,1881-06-29,2e arrondissement de Paris,505.61627708066993,694.8355949855505
12,1909-07-27,321.0,Nantes,Brest,Plain stage,Gustave Garrigou,FRA,1909,Gustave_Garrigou,Flat stage,1884-09-24,Vabre-Tizac,436.2252662149896,685.6177191707583
